"Surv","SE","L95CL","U95CL","Cohort","Time","Time_step","age_6mnths","age"
0.933333333333333,0.0644061188719531,0.815264045653585,1,"BFA",182,1,5,2.5
0.855555555555556,0.0950308591854818,0.688178307132429,1,"BFA",365,2,6,3
0.855555555555556,0.0950308591854818,0.688178307132429,1,"BFA",548,3,7,3.5
0.855555555555556,0.0950308591854818,0.688178307132429,1,"BFA",730,4,8,4
0.427777777777778,0.306193777908091,0.105183391275305,1,"BFA",912,5,9,4.5
0.427777777777778,0.306193777908091,0.105183391275305,1,"BFA",1095,6,10,5
0.427777777777778,0.306193777908091,0.105183391275305,1,"BFA",1278,7,11,5.5
0.427777777777778,0.306193777908091,0.105183391275305,1,"BFA",1460,8,12,6
0.427777777777778,0.306193777908091,0.105183391275305,1,"BFA",1642,9,13,6.5
0.427777777777778,0.306193777908091,0.105183391275305,1,"BFA",1825,10,14,7
0.427777777777778,0.306193777908091,0.105183391275305,1,"BFA",2008,11,15,7.5
0.427777777777778,0.306193777908091,0.105183391275305,1,"BFA",2190,12,16,8
0.9,0.0948683298050514,0.732011642743993,1,"BFJ",182,1,1,0.5
0.54,0.205231576517845,0.256381922239419,1,"BFJ",365,2,2,1
0.54,0.205231576517845,0.256381922239419,1,"BFJ",548,3,3,1.5
0.54,0.205231576517845,0.256381922239419,1,"BFJ",730,4,4,2
1,0,1,1,"BMA",182,1,5,2.5
0.6,0.219089023002066,0.293316431638326,1,"BMA",365,2,6,3
0.6,0.219089023002066,0.293316431638326,1,"BMA",548,3,7,3.5
0.6,0.219089023002066,0.293316431638326,1,"BMA",730,4,8,4
0.6,0.219089023002066,0.293316431638326,1,"BMA",912,5,9,4.5
0.6,0.219089023002066,0.293316431638326,1,"BMA",1095,6,10,5
0.6,0.219089023002066,0.293316431638326,1,"BMA",1278,7,11,5.5
0.6,0.219089023002066,0.293316431638326,1,"BMA",1460,8,12,6
0.6,0.219089023002066,0.293316431638326,1,"BMA",1642,9,13,6.5
0.6,0.219089023002066,0.293316431638326,1,"BMA",1825,10,14,7
0.6,0.219089023002066,0.293316431638326,1,"BMA",2008,11,15,7.5
0.6,0.219089023002066,0.293316431638326,1,"BMA",2190,12,16,8
1,0,1,1,"BMJ",182,1,1,0.5
1,0,1,1,"BMJ",365,2,2,1
0.666666666666667,0.272165526975909,0.299507130359022,1,"BMJ",548,3,3,1.5
0.666666666666667,0.272165526975909,0.299507130359022,1,"BMJ",730,4,4,2
0.92948717948718,0.0481891086451355,0.83967843786173,1,"CFA",182,1,5,2.5
0.787330316742081,0.0859594279909813,0.635658986669635,0.975191164855434,"CFA",365,2,6,3
0.734841628959276,0.0949107569491577,0.570498054200199,0.94652771499555,"CFA",548,3,7,3.5
0.734841628959276,0.0949107569491577,0.570498054200199,0.94652771499555,"CFA",730,4,8,4
0.61236802413273,0.136950397649905,0.395047409555503,0.949239478375918,"CFA",912,5,9,4.5
0.61236802413273,0.136950397649905,0.395047409555503,0.949239478375918,"CFA",1095,6,10,5
0,NA,NA,NA,"CFA",1278,7,11,5.5
0,NA,NA,NA,"CFA",1460,8,12,6
0,NA,NA,NA,"CFA",1642,9,13,6.5
0,NA,NA,NA,"CFA",1825,10,14,7
0,NA,NA,NA,"CFA",2008,11,15,7.5
0,NA,NA,NA,"CFA",2190,12,16,8
0.409090909090909,0.175523794838393,0.176443171843783,0.948494465113092,"CFJ",182,1,1,0.5
0.409090909090909,0.175523794838393,0.176443171843783,0.948494465113092,"CFJ",365,2,2,1
0.204545454545455,0.169179112558912,0.040435501893057,1,"CFJ",548,3,3,1.5
0.204545454545455,0.169179112558912,0.040435501893057,1,"CFJ",730,4,4,2
0.9,0.0948683298050514,0.732011642743993,1,"CMA",182,1,5,2.5
0.9,0.0948683298050514,0.732011642743993,1,"CMA",365,2,6,3
0.9,0.0948683298050514,0.732011642743993,1,"CMA",548,3,7,3.5
0.9,0.0948683298050514,0.732011642743993,1,"CMA",730,4,8,4
0.9,0.0948683298050514,0.732011642743993,1,"CMA",912,5,9,4.5
0.9,0.0948683298050514,0.732011642743993,1,"CMA",1095,6,10,5
0.9,0.0948683298050514,0.732011642743993,1,"CMA",1278,7,11,5.5
0.9,0.0948683298050514,0.732011642743993,1,"CMA",1460,8,12,6
0.9,0.0948683298050514,0.732011642743993,1,"CMA",1642,9,13,6.5
0.9,0.0948683298050514,0.732011642743993,1,"CMA",1825,10,14,7
0.9,0.0948683298050514,0.732011642743993,1,"CMA",2008,11,15,7.5
0.9,0.0948683298050514,0.732011642743993,1,"CMA",2190,12,16,8
0.857142857142857,0.132260014253222,0.63344652901215,1,"CMJ",182,1,1,0.5
0.857142857142857,0.132260014253222,0.63344652901215,1,"CMJ",365,2,2,1
0.857142857142857,0.132260014253222,0.63344652901215,1,"CMJ",548,3,3,1.5
0.857142857142857,0.132260014253222,0.63344652901215,1,"CMJ",730,4,4,2
